elapsed_s,events_processed,throughput_eps,minutes_processed,backlog_total,latency_ms_p50,latency_ms_p95,backlog_window,backlog_merge,backlog_anomaly,backlog_ml,backlog_sink
118.57,187294,1244.1,3081,26,1652.87,1777.0,0,0,26,0,0
119.57,188793,1488.5,3113,25,1638.31,1770.32,0,0,25,0,0
120.59,190725,1889.8,3148,19,1606.53,1713.73,0,0,19,0,0
121.6,192901,2163.5,3182,18,1555.23,1672.34,1,0,17,0,0
122.63,194405,1465.3,3214,15,1510.56,1626.97,0,0,15,0,0
123.63,196644,2235.7,3247,12,1361.79,1615.2,0,0,12,0,0
124.64,199549,2863.0,3281,9,1264.64,1529.38,0,0,9,0,0
125.66,202495,2888.3,3312,9,1194.65,1488.56,0,0,9,0,0
126.67,206043,3530.2,3347,4,1118.91,1313.02,0,0,4,0,0
127.68,209638,3535.0,3381,0,1021.2,1246.83,0,0,0,0,0
128.69,213019,3378.4,3411,0,968.73,1167.5,0,0,0,0,0
129.69,216225,3192.9,3441,0,852.89,1109.03,0,0,0,0,0
130.69,219008,2778.7,3471,0,747.87,1020.03,0,0,0,0,0
131.7,220609,1589.1,3501,0,713.73,977.56,0,0,0,0,0
132.7,223742,3121.7,3531,0,711.61,851.27,0,0,0,0,0
133.71,226954,3185.0,3562,0,707.92,747.56,0,0,0,0,0
134.71,229738,2781.2,3592,0,706.47,730.95,0,0,0,0,0
135.73,231330,1569.0,3621,1,705.89,736.53,0,0,1,0,0
136.74,234076,2722.0,3652,1,705.44,739.06,0,0,1,0,0
137.75,236755,2648.1,3683,0,706.45,733.26,0,0,0,0,0
138.76,239154,2364.0,3713,0,706.07,733.26,0,0,0,0,0
139.76,240983,1826.9,3741,3,706.62,748.68,0,0,3,0,0
140.79,242837,1811.8,3774,1,711.34,754.73,0,0,1,0,0
141.8,245065,2194.7,3805,0,713.57,761.24,0,0,0,0,0
142.8,247072,2006.3,3835,0,721.27,784.77,0,0,0,0,0
143.83,249125,1999.6,3865,1,728.8,784.77,0,0,1,0,0
144.84,251269,2115.4,3897,0,731.63,784.77,0,0,0,0,0
145.84,253259,1989.6,3927,0,730.55,793.95,0,0,0,0,0
146.87,255098,1797.1,3956,0,726.25,793.95,0,0,0,0,0
147.88,257060,1931.9,3988,0,714.88,784.77,0,0,0,0,0
148.9,258742,1655.7,4017,1,713.44,758.58,0,0,1,0,0
149.92,260558,1772.4,4049,0,713.77,750.45,0,0,0,0,0
150.93,262067,1496.6,4078,0,712.74,778.15,0,0,0,0,0
151.93,263639,1571.2,4109,0,716.54,778.15,0,0,0,0,0
152.97,265048,1357.9,4139,1,717.82,754.68,0,0,1,0,0
153.97,266428,1371.0,4170,1,718.98,754.68,0,0,1,0,0
154.99,267577,1126.9,4201,0,719.81,754.68,0,0,0,0,0
156.0,268646,1066.7,4231,0,721.87,778.08,0,0,0,0,0
157.0,269576,929.7,4261,0,719.9,772.79,0,0,0,0,0
158.03,270424,821.5,4292,0,718.92,741.39,0,0,0,0,0
159.04,270925,496.2,4303,69,719.2,748.26,0,35,17,17,0
